icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,epoch_time,date,time
3965a0,AFR454  ,France,1659915689.0,1659915689,-9.5493,38.7123,9448.8,False,244.9,209.58,0.0,,10035.54,4526,False,0,1659915689,2022-08-07,19:41:29
841ff4,JAL300  ,Japan,1659915688.0,1659915688,140.203,35.573,2179.32,False,119.89,338.61,-6.18,,2331.72,0405,False,0,1659915689,2022-08-07,19:41:29
c049fd,WJA2581 ,Canada,1659915688.0,1659915688,-79.5233,43.5646,2301.24,False,136.72,335.07,-6.18,,2438.4,,False,0,1659915689,2022-08-07,19:41:29
c07f3d,WEN3534 ,Canada,1659915689.0,1659915689,-74.1255,45.6821,2682.24,False,135.41,163.22,-7.15,,2796.54,6333,False,0,1659915689,2022-08-07,19:41:29
3965b0,AFR719  ,France,1659915689.0,1659915689,-17.041,14.9705,2667.0,False,150.24,10.66,12.68,,2857.5,,False,0,1659915689,2022-08-07,19:41:29
a4b453,N402CT  ,United States,1659915689.0,1659915689,-118.2453,34.337,5836.92,False,84.6,103.36,8.78,,6195.06,,False,0,1659915689,2022-08-07,19:41:29
3965b4,AFR984  ,France,1659915688.0,1659915688,33.3468,33.0722,7223.76,False,218.62,134.9,-5.2,,7688.58,7556,False,0,1659915689,2022-08-07,19:41:29
aa2bc4,UAL2057 ,United States,1659915688.0,1659915689,-96.1658,30.8965,4914.9,False,185.44,157.49,-8.13,,5234.94,2647,False,0,1659915689,2022-08-07,19:41:29
68327a,VSV812  ,Kazakhstan,1659915680.0,1659915680,50.3314,44.0076,2849.88,False,133.72,48.27,-6.5,,2971.8,,False,0,1659915689,2022-08-07,19:41:29
a129a7,GRY74   ,United States,1659915675.0,1659915677,-73.8888,43.5192,723.9,False,48.8,214.7,-0.33,,739.14,,False,0,1659915689,2022-08-07,19:41:29
840cd8,JJP303  ,Japan,1659915688.0,1659915688,140.0752,33.8124,10302.24,False,236.75,233.3,1.3,,11003.28,,False,0,1659915689,2022-08-07,19:41:29
ac121a,UAL1593 ,United States,1659915657.0,1659915657,-119.3033,39.6146,9921.24,False,259.74,55.08,6.18,,10469.88,3340,False,0,1659915689,2022-08-07,19:41:29
c023bb,ACA832  ,Canada,1659915684.0,1659915684,-73.753,45.4603,,True,2.83,295.31,,,,,False,0,1659915689,2022-08-07,19:41:29
abf216,GAJ869  ,United States,1659915560.0,1659915645,-76.4171,40.0604,3009.9,False,144.71,87.35,-5.53,,3162.3,7453,False,0,1659915689,2022-08-07,19:41:29
ac6bd0,N9PS    ,United States,1659915689.0,1659915689,-107.1518,37.0455,13708.38,False,243.64,243.27,0.65,,14470.38,3167,False,0,1659915689,2022-08-07,19:41:29
aa2bc1,UAL2031 ,United States,1659915688.0,1659915689,-96.7881,32.9989,10363.2,False,236.0,320.31,-0.65,,11003.28,4740,False,0,1659915689,2022-08-07,19:41:29
c023c5,ACA345  ,Canada,1659915689.0,1659915689,-81.3149,47.3952,11582.4,False,239.74,300.14,6.5,,12161.52,1074,False,0,1659915689,2022-08-07,19:41:29
aaf87f,DAL1871 ,United States,1659915687.0,1659915689,-113.7307,29.5583,10363.2,False,239.77,332.39,-0.33,,10995.66,2105,False,0,1659915689,2022-08-07,19:41:29
c023c9,ACA57   ,Canada,1659915689.0,1659915689,27.0006,44.3182,10980.42,False,252.38,319.13,-0.98,,11521.44,3274,False,0,1659915689,2022-08-07,19:41:29
a76df8,AAL875  ,United States,1659915688.0,1659915688,-80.8997,35.4506,1158.24,False,99.16,243.83,-0.33,,1257.3,,False,0,1659915689,2022-08-07,19:41:29
ad9edf,AAL466  ,United States,1659915689.0,1659915689,-73.4133,40.2665,3108.96,False,151.04,172.37,6.5,,3291.84,3303,False,0,1659915689,2022-08-07,19:41:29
a88dbb,N650LG  ,United States,1659915689.0,1659915689,-121.7531,37.2978,3535.68,False,175.97,138.2,9.43,,3703.32,3750,False,0,1659915689,2022-08-07,19:41:29
a2112e,AAY2496 ,United States,1659915682.0,1659915689,-90.28,41.2946,1630.68,False,245.75,334.45,-4.55,,2331.72,1564,False,0,1659915689,2022-08-07,19:41:29
a88dd0,,United States,1659915489.0,1659915645,-120.3939,39.8241,4602.48,False,123.98,209.86,2.6,,4884.42,,False,0,1659915689,2022-08-07,19:41:29
c023bd,ACA309  ,Canada,1659915689.0,1659915689,-77.3509,46.4626,10363.2,False,180.08,318.71,11.38,,10637.52,,False,0,1659915689,2022-08-07,19:41:29
846333,NCA159  ,Japan,1659915689.0,1659915689,-83.2289,46.4034,9753.6,False,239.12,313.17,0.0,,10309.86,1503,False,0,1659915689,2022-08-07,19:41:29
ab4bf7,DAL73   ,United States,1659915689.0,1659915689,-74.3788,39.808,10972.8,False,261.51,239.5,0.0,,11635.74,0025,False,0,1659915689,2022-08-07,19:41:29
c023aa,ACA43   ,Canada,1659915688.0,1659915688,30.0912,42.7241,10218.42,False,252.53,311.61,7.15,,10721.34,,False,0,1659915689,2022-08-07,19:41:29
a4a149,N398J   ,United States,1659915688.0,1659915688,-80.1559,39.3075,7071.36,False,107.81,193.24,3.25,,7513.32,,False,0,1659915689,2022-08-07,19:41:29
a1f11d,AAY2392 ,United States,1659915680.0,1659915689,-95.1223,42.9321,8442.96,False,242.45,317.24,0.0,,9204.96,3067,True,0,1659915689,2022-08-07,19:41:29
a009a4,AAL274  ,United States,1659915688.0,1659915689,-78.0986,41.7124,11285.22,False,234.79,92.39,0.0,,12009.12,1056,False,0,1659915689,2022-08-07,19:41:29
a2bab6,SKW3586 ,United States,1659915439.0,1659915439,-122.2488,37.569,624.84,False,93.18,296.57,0.33,,739.14,1602,False,0,1659915689,2022-08-07,19:41:29
aa2ba5,UAL1108 ,United States,1659915467.0,1659915467,-104.6419,39.8142,1661.16,False,86.95,0.68,-4.55,,1805.94,4066,False,0,1659915689,2022-08-07,19:41:29
aa2ba2,UAL2647 ,United States,1659915689.0,1659915689,-98.4517,34.1934,10363.2,False,234.53,321.95,0.33,,11010.9,0233,False,0,1659915689,2022-08-07,19:41:29
aa2ba1,UAL2276 ,United States,1659915689.0,1659915689,-86.7242,34.0683,9144.0,False,236.57,249.24,-0.33,,9730.74,3653,False,0,1659915689,2022-08-07,19:41:29
aa2ba4,UAL524  ,United States,1659915576.0,1659915576,-69.7898,19.4544,7551.42,False,243.37,302.04,7.48,,6812.28,,False,0,1659915689,2022-08-07,19:41:29
aad249,N797CS  ,United States,1659915583.0,1659915593,-117.1685,32.7284,76.2,False,63.17,286.07,-3.9,,38.1,,False,0,1659915689,2022-08-07,19:41:29
c023ae,ACA834  ,Canada,1659915689.0,1659915689,-73.0677,44.8791,10668.0,False,263.55,77.94,0.0,,11292.84,2213,False,0,1659915689,2022-08-07,19:41:29
